Mês/Ano;UF;Município;Zona;Quantidade;%
Agosto - 2013;SP;BURITIZAL;50;3.316;0,011
Agosto - 2013;SP;CABRÁLIA PAULISTA;97;3.926;0,013
Agosto - 2013;SP;CABREÚVA;59;31.494;0,100
Agosto - 2013;SP;CAÇAPAVA;29;66.955;0,213
Agosto - 2013;SP;CACHOEIRA PAULISTA;145;24.210;0,077
Agosto - 2013;SP;CACONDE;30;14.267;0,045
Agosto - 2013;SP;CAFELÂNDIA;31;13.241;0,042
Agosto - 2013;SP;CAIABU;167;3.645;0,012
Agosto - 2013;SP;CAIEIRAS;192;62.030;0,198
Agosto - 2013;SP;CAIUÁ;102;4.149;0,013
Agosto - 2013;SP;CAJAMAR;354;52.762;0,168
Agosto - 2013;SP;CAJATI;228;23.372;0,074
Agosto - 2013;SP;CAJOBI;80;8.014;0,026
Agosto - 2013;SP;CAJURU;32;18.291;0,058
Agosto - 2013;SP;CAMPINA DO MONTE ALEGRE;215;4.512;0,014
Agosto - 2013;SP;CAMPINAS;33;71.170;0,227
Agosto - 2013;SP;CAMPINAS;274;89.482;0,285
Agosto - 2013;SP;CAMPINAS;275;129.737;0,413
Agosto - 2013;SP;CAMPINAS;378;159.022;0,507
Agosto - 2013;SP;CAMPINAS;379;140.183;0,447
Agosto - 2013;SP;CAMPINAS;380;118.707;0,378
Agosto - 2013;SP;CAMPINAS;423;79.116;0,252
Agosto - 2013;SP;CAMPO LIMPO PAULISTA;344;58.505;0,186
Agosto - 2013;SP;CAMPOS DO JORDÃO;35;37.956;0,121
Agosto - 2013;SP;CAMPOS NOVOS PAULISTA;83;3.683;0,012
Agosto - 2013;SP;CANANÉIA;36;10.157;0,032
Agosto - 2013;SP;CANAS;68;3.655;0,012
Agosto - 2013;SP;CÂNDIDO MOTA;226;24.454;0,078
Agosto - 2013;SP;CÂNDIDO RODRIGUES;139;2.565;0,008
Agosto - 2013;SP;CANITAR;313;3.637;0,012
Agosto - 2013;SP;CAPÃO BONITO;37;36.312;0,116
Agosto - 2013;SP;CAPELA DO ALTO;140;12.570;0,040
Agosto - 2013;SP;CAPIVARI;38;34.673;0,111
Agosto - 2013;SP;CARAGUATATUBA;206;74.434;0,237
Agosto - 2013;SP;CARAPICUÍBA;303;101.219;0,323
Agosto - 2013;SP;CARAPICUÍBA;388;172.031;0,548
Agosto - 2013;SP;CARDOSO;224;10.047;0,032
Agosto - 2013;SP;CASA BRANCA;39;20.855;0,066
Agosto - 2013;SP;CÁSSIA DOS COQUEIROS;32;2.780;0,009
Agosto - 2013;SP;CASTILHO;9;13.794;0,044
Agosto - 2013;SP;CATANDUVA;40;84.105;0,268
Agosto - 2013;SP;CATIGUÁ;179;5.787;0,018
Agosto - 2013;SP;CEDRAL;126;6.515;0,021
Agosto - 2013;SP;CERQUEIRA CÉSAR;205;13.764;0,044
Agosto - 2013;SP;CERQUILHO;355;30.050;0,096
Agosto - 2013;SP;CESÁRIO LANGE;140;11.558;0,037
Agosto - 2013;SP;CHARQUEADA;244;12.381;0,039
Agosto - 2013;SP;CHAVANTES;313;9.638;0,031
Agosto - 2013;SP;CLEMENTINA;25;5.211;0,017
Agosto - 2013;SP;COLINA;178;14.344;0,046
Agosto - 2013;SP;COLÔMBIA;21;5.570;0,018
Agosto - 2013;SP;CONCHAL;75;19.914;0,063
Agosto - 2013;SP;CONCHAS;41;13.633;0,043
Agosto - 2013;SP;CORDEIRÓPOLIS;243;17.060;0,054
Agosto - 2013;SP;COROADOS;25;4.102;0,013
Agosto - 2013;SP;CORONEL MACEDO;236;4.342;0,014
Agosto - 2013;SP;CORUMBATAÍ;245;3.452;0,011
Agosto - 2013;SP;COSMÓPOLIS;360;43.581;0,139
Agosto - 2013;SP;COSMORAMA;138;6.012;0,019
Agosto - 2013;SP;COTIA;227;98.756;0,315
Agosto - 2013;SP;COTIA;286;45.033;0,144
Agosto - 2013;SP;CRAVINHOS;193;24.324;0,078
Agosto - 2013;SP;CRISTAIS PAULISTA;240;6.824;0,022
Agosto - 2013;SP;CRUZÁLIA;363;2.216;0,007
Agosto - 2013;SP;CRUZEIRO;42;58.273;0,186
Agosto - 2013;SP;CUBATÃO;119;94.713;0,302
Agosto - 2013;SP;CUNHA;43;19.366;0,062
Agosto - 2013;SP;DESCALVADO;44;25.031;0,080
Agosto - 2013;SP;DIADEMA;222;82.602;0,263
Agosto - 2013;SP;DIADEMA;329;157.448;0,502
Agosto - 2013;SP;DIADEMA;426;79.874;0,255
Agosto - 2013;SP;DIRCE REIS;152;1.600;0,005
Agosto - 2013;SP;DIVINOLÂNDIA;366;10.121;0,032
Agosto - 2013;SP;DOBRADA;170;5.458;0,017
Agosto - 2013;SP;DOIS CÓRREGOS;45;18.765;0,060
Agosto - 2013;SP;DOLCINÓPOLIS;233;2.226;0,007
Agosto - 2013;SP;DOURADO;107;7.404;0,024
Agosto - 2013;SP;DRACENA;149;32.658;0,104
Agosto - 2013;SP;DUARTINA;159;9.865;0,031
Agosto - 2013;SP;DUMONT;109;6.362;0,020
Agosto - 2013;SP;ECHAPORÃ;290;5.293;0,017
Agosto - 2013;SP;ELDORADO;148;11.718;0,037
Agosto - 2013;SP;ELIAS FAUSTO;358;13.044;0,042
Agosto - 2013;SP;ELISIÁRIO;40;2.681;0,009
Agosto - 2013;SP;EMBAÚBA;80;2.429;0,008
Agosto - 2013;SP;EMBU DAS ARTES;341;91.652;0,292
Agosto - 2013;SP;EMBU DAS ARTES;391;87.315;0,278
Agosto - 2013;SP;EMBU-GUAÇU;370;49.721;0,158
Agosto - 2013;SP;EMILIANÓPOLIS;165;2.594;0,008
Agosto - 2013;SP;ENGENHEIRO COELHO;75;12.075;0,038
Agosto - 2013;SP;ESPÍRITO SANTO DO PINHAL;91;33.508;0,107
Agosto - 2013;SP;ESPÍRITO SANTO DO TURVO;114;3.444;0,011
Agosto - 2013;SP;ESTIVA GERBI;216;8.052;0,026
Agosto - 2013;SP;ESTRELA DO NORTE;261;2.581;0,008
Agosto - 2013;SP;ESTRELA D'OESTE;233;6.828;0,022
Agosto - 2013;SP;EUCLIDES DA CUNHA PAULISTA;330;7.795;0,025
Agosto - 2013;SP;FARTURA;234;12.638;0,040
Agosto - 2013;SP;FERNANDO PRESTES;139;4.832;0,015
Agosto - 2013;SP;FERNANDÓPOLIS;150;49.983;0,159
Agosto - 2013;SP;FERNÃO;47;1.569;0,005
Agosto - 2013;SP;FERRAZ DE VASCONCELOS;401;117.319;0,374
Agosto - 2013;SP;FLORA RICA;154;1.843;0,006
Agosto - 2013;SP;FLOREAL;162;2.643;0,008
Agosto - 2013;SP;FLÓRIDA PAULISTA;157;8.282;0,026
Agosto - 2013;SP;FLORÍNEA;15;2.695;0,009
Agosto - 2013;SP;FRANCA;46;112.678;0,359
Agosto - 2013;SP;FRANCA;291;110.990;0,354
Agosto - 2013;SP;FRANCISCO MORATO;367;108.850;0,347
Agosto - 2013;SP;FRANCO DA ROCHA;192;93.115;0,297
Agosto - 2013;SP;GABRIEL MONTEIRO;210;2.576;0,008
Agosto - 2013;SP;GÁLIA;47;5.541;0,018
Agosto - 2013;SP;GARÇA;47;34.292;0,109
Agosto - 2013;SP;GASTÃO VIDIGAL;162;3.423;0,011
Agosto - 2013;SP;GAVIÃO PEIXOTO;385;3.729;0,012
Agosto - 2013;SP;GENERAL SALGADO;168;8.479;0,027
Agosto - 2013;SP;GETULINA;160;8.382;0,027
Agosto - 2013;SP;GLICÉRIO;289;4.085;0,013
Agosto - 2013;SP;GUAIÇARA;67;8.210;0,026
Agosto - 2013;SP;GUAIMBÉ;160;4.567;0,015
Agosto - 2013;SP;GUAÍRA;169;29.188;0,093
Agosto - 2013;SP;GUAPIAÇU;126;14.276;0,045
Agosto - 2013;SP;GUAPIARA;37;15.723;0,050
Agosto - 2013;SP;GUARÁ;338;15.261;0,049
Agosto - 2013;SP;GUARAÇAÍ;153;6.986;0,022
Agosto - 2013;SP;GUARACI;80;8.539;0,027
Agosto - 2013;SP;GUARANI D'OESTE;302;1.675;0,005
Agosto - 2013;SP;GUARANTÃ;31;5.619;0,018
Agosto - 2013;SP;GUARARAPES;151;24.446;0,078
Agosto - 2013;SP;GUARAREMA;319;21.898;0,070
Agosto - 2013;SP;GUARATINGUETÁ;48;36.213;0,115
Agosto - 2013;SP;GUARATINGUETÁ;316;51.426;0,164
Agosto - 2013;SP;GUAREÍ;140;8.869;0,028
Agosto - 2013;SP;GUARIBA;197;27.993;0,089
Agosto - 2013;SP;GUARUJÁ;212;115.713;0,369
Agosto - 2013;SP;GUARUJÁ;310;102.453;0,327
Agosto - 2013;SP;GUARULHOS;176;148.776;0,474
Agosto - 2013;SP;GUARULHOS;185;115.479;0,368
Agosto - 2013;SP;GUARULHOS;278;85.339;0,272
Agosto - 2013;SP;GUARULHOS;279;123.453;0,393
Agosto - 2013;SP;GUARULHOS;393;119.455;0,381
Agosto - 2013;SP;GUARULHOS;394;161.827;0,516
Agosto - 2013;SP;GUARULHOS;395;83.139;0,265
Agosto - 2013;SP;GUATAPARÁ;293;5.210;0,017
Agosto - 2013;SP;GUZOLÂNDIA;225;3.762;0,012
Agosto - 2013;SP;HERCULÂNDIA;184;6.799;0,022
Agosto - 2013;SP;HOLAMBRA;75;9.930;0,032
Agosto - 2013;SP;HORTOLÂNDIA;361;134.635;0,429
Agosto - 2013;SP;IACANGA;49;7.210;0,023
Agosto - 2013;SP;IACRI;184;5.323;0,017
Agosto - 2013;SP;IARAS;205;3.866;0,012
Agosto - 2013;SP;IBATÉ;410;24.117;0,077
Agosto - 2013;SP;IBIRÁ;179;8.106;0,026
Agosto - 2013;SP;IBIRAREMA;83;4.876;0,016
Agosto - 2013;SP;IBITINGA;49;41.288;0,132
Agosto - 2013;SP;IBIÚNA;191;57.038;0,182
Agosto - 2013;SP;ICÉM;78;6.739;0,021
Agosto - 2013;SP;IEPÊ;106;5.949;0,019
Agosto - 2013;SP;IGARAÇU DO TIETÊ;200;18.453;0,059
Agosto - 2013;SP;IGARAPAVA;50;21.848;0,070
Agosto - 2013;SP;IGARATÁ;115;7.606;0,024
Agosto - 2013;SP;IGUAPE;51;22.731;0,072
Agosto - 2013;SP;ILHA COMPRIDA;51;7.978;0,025
Agosto - 2013;SP;ILHA SOLTEIRA;368;21.293;0,068
Agosto - 2013;SP;ILHABELA;132;21.532;0,069
Agosto - 2013;SP;INDAIATUBA;211;143.471;0,457
Agosto - 2013;SP;INDIANA;71;4.517;0,014
Agosto - 2013;SP;INDIAPORÃ;302;3.352;0,011
Agosto - 2013;SP;INÚBIA PAULISTA;69;3.051;0,010
Agosto - 2013;SP;IPAUSSU;114;10.498;0,033
Agosto - 2013;SP;IPERÓ;369;17.599;0,056
Agosto - 2013;SP;IPEÚNA;245;5.381;0,017
Agosto - 2013;SP;IPIGUÁ;268;3.613;0,012
Agosto - 2013;SP;IPORANGA;10;3.520;0,011
Agosto - 2013;SP;IPUÃ;123;10.738;0,034
Agosto - 2013;SP;IRACEMÁPOLIS;243;15.685;0,050
Agosto - 2013;SP;IRAPUÃ;207;5.700;0,018
Agosto - 2013;SP;IRAPURU;154;5.449;0,017
Agosto - 2013;SP;ITABERÁ;53;13.866;0,044
Agosto - 2013;SP;ITAÍ;301;16.765;0,053
Agosto - 2013;SP;ITAJOBI;79;12.351;0,039
Agosto - 2013;SP;ITAJU;19;3.154;0,010
Agosto - 2013;SP;ITANHAÉM;189;69.895;0,223
Agosto - 2013;SP;ITAOCA;10;2.928;0,009
Agosto - 2013;SP;ITAPECERICA DA SERRA;201;108.011;0,344
Agosto - 2013;SP;ITAPETININGA;52;102.515;0,327
Agosto - 2013;SP;ITAPEVA;53;66.946;0,213
Agosto - 2013;SP;ITAPEVI;359;139.261;0,444
Agosto - 2013;SP;ITAPIRA;54;54.425;0,173
Agosto - 2013;SP;ITAPIRAPUÃ PAULISTA;10;3.141;0,010
Agosto - 2013;SP;ITÁPOLIS;55;30.831;0,098
Agosto - 2013;SP;ITAPORANGA;56;11.165;0,036
Agosto - 2013;SP;ITAPUÍ;241;8.687;0,028
Agosto - 2013;SP;ITAPURA;88;3.752;0,012
Agosto - 2013;SP;ITAQUAQUECETUBA;377;105.473;0,336
Agosto - 2013;SP;ITAQUAQUECETUBA;419;102.248;0,326
Agosto - 2013;SP;ITARARÉ;57;37.194;0,119
Agosto - 2013;SP;ITARIRI;295;9.575;0,031
Agosto - 2013;SP;ITATIBA;58;73.144;0,233
Agosto - 2013;SP;ITATINGA;26;13.704;0,044
Agosto - 2013;SP;ITIRAPINA;245;9.790;0,031
Agosto - 2013;SP;ITIRAPUÃ;85;5.003;0,016
Agosto - 2013;SP;ITOBI;39;6.377;0,020
Agosto - 2013;SP;ITU;59;118.223;0,377
Agosto - 2013;SP;ITUPEVA;65;33.501;0,107
Agosto - 2013;SP;ITUVERAVA;60;29.974;0,096
Agosto - 2013;SP;JABORANDI;178;4.955;0,016
Agosto - 2013;SP;JABOTICABAL;61;52.356;0,167
Agosto - 2013;SP;JACAREÍ;62;79.021;0,252
Agosto - 2013;SP;JACAREÍ;396;77.545;0,247
Agosto - 2013;SP;JACI;72;4.997;0,016
Agosto - 2013;SP;JACUPIRANGA;228;13.430;0,043
Agosto - 2013;SP;JAGUARIÚNA;333;34.936;0,111
Agosto - 2013;SP;JALES;152;37.297;0,119
Agosto - 2013;SP;JAMBEIRO;29;4.323;0,014
Agosto - 2013;SP;JANDIRA;304;75.109;0,239
Agosto - 2013;SP;JARDINÓPOLIS;204;26.447;0,084
Agosto - 2013;SP;JARINU;16;18.447;0,059
Agosto - 2013;SP;JAÚ;63;95.747;0,305
Agosto - 2013;SP;JERIQUARA;155;3.270;0,010
Agosto - 2013;SP;JOANÓPOLIS;92;9.169;0,029
Agosto - 2013;SP;JOÃO RAMALHO;104;3.766;0,012
Agosto - 2013;SP;JOSÉ BONIFÁCIO;64;24.893;0,079
Agosto - 2013;SP;JÚLIO MESQUITA;31;3.653;0,012
Agosto - 2013;SP;JUMIRIM;142;2.325;0,007
Agosto - 2013;SP;JUNDIAÍ;65;65.860;0,210
Agosto - 2013;SP;JUNDIAÍ;281;129.154;0,412
Agosto - 2013;SP;JUNDIAÍ;424;70.225;0,224
Agosto - 2013;SP;JUNQUEIRÓPOLIS;196;13.164;0,042
Agosto - 2013;SP;JUQUIÁ;223;17.074;0,054
Agosto - 2013;SP;JUQUITIBA;201;22.214;0,071
Agosto - 2013;SP;LAGOINHA;128;5.156;0,016
Agosto - 2013;SP;LARANJAL PAULISTA;209;20.091;0,064
Agosto - 2013;SP;LAVÍNIA;153;4.206;0,013
Agosto - 2013;SP;LAVRINHAS;42;5.758;0,018
Agosto - 2013;SP;LEME;188;68.922;0,220
Agosto - 2013;SP;LENÇÓIS PAULISTA;161;45.595;0,145
Agosto - 2013;SP;LIMEIRA;66;113.928;0,363
Agosto - 2013;SP;LIMEIRA;399;88.795;0,283
Agosto - 2013;SP;LINDÓIA;134;5.271;0,017
Agosto - 2013;SP;LINS;67;20.877;0,067
Agosto - 2013;SP;LINS;297;33.690;0,107
Agosto - 2013;SP;LORENA;68;63.146;0,201
Agosto - 2013;SP;LOURDES;214;2.035;0,006
Agosto - 2013;SP;LOUVEIRA;345;30.238;0,096
Agosto - 2013;SP;LUCÉLIA;69;14.838;0,047
Agosto - 2013;SP;LUCIANÓPOLIS;159;1.934;0,006
Agosto - 2013;SP;LUÍS ANTÔNIO;133;8.628;0,027
Agosto - 2013;SP;LUIZIÂNIA;289;4.161;0,013
Agosto - 2013;SP;LUPÉRCIO;47;3.724;0,012
Agosto - 2013;SP;LUTÉCIA;12;2.518;0,008
Agosto - 2013;SP;MACATUBA;86;13.183;0,042
Agosto - 2013;SP;MACAUBAL;77;6.018;0,019
Agosto - 2013;SP;MACEDÔNIA;302;3.259;0,010
Agosto - 2013;SP;MAGDA;162;2.942;0,009
Agosto - 2013;SP;MAIRINQUE;131;35.533;0,113
Agosto - 2013;SP;MAIRIPORÃ;237;55.798;0,178
Agosto - 2013;SP;MANDURI;94;7.179;0,023
Agosto - 2013;SP;MARABÁ PAULISTA;102;3.615;0,012
Agosto - 2013;SP;MARACAÍ;363;10.729;0,034
Agosto - 2013;SP;MARAPOAMA;79;2.560;0,008
Agosto - 2013;SP;MARIÁPOLIS;157;3.256;0,010
Agosto - 2013;SP;MARÍLIA;70;77.104;0,246
Agosto - 2013;SP;MARÍLIA;400;86.370;0,275
Agosto - 2013;SP;MARINÓPOLIS;232;1.941;0,006
Agosto - 2013;SP;MARTINÓPOLIS;71;18.601;0,059
Agosto - 2013;SP;MATÃO;170;61.233;0,195
Agosto - 2013;SP;MAUÁ;217;49.763;0,159
Agosto - 2013;SP;MAUÁ;339;68.452;0,218
Agosto - 2013;SP;MAUÁ;364;68.602;0,219
Agosto - 2013;SP;MAUÁ;365;107.630;0,343
Agosto - 2013;SP;MENDONÇA;64;4.297;0,014
Agosto - 2013;SP;MERIDIANO;302;3.633;0,012
Agosto - 2013;SP;MESÓPOLIS;152;1.718;0,005
Agosto - 2013;SP;MIGUELÓPOLIS;208;17.031;0,054
Agosto - 2013;SP;MINEIROS DO TIETÊ;241;9.159;0,029
Agosto - 2013;SP;MIRA ESTRELA;224;2.556;0,008
Agosto - 2013;SP;MIRACATU;218;16.954;0,054
Agosto - 2013;SP;MIRANDÓPOLIS;153;20.518;0,065
